#{"t_start": 1639959926.4372768, "env_id": null}
r,l,t
92.260023,1001,7264.584882
89.808626,1001,7276.327471
85.871644,1001,7289.69272
90.836284,1001,7301.475232
61.120892,701,7309.927593
90.422333,1001,7322.168849
84.944263,1001,7333.665097
66.49932,746,7344.144068
40.661478,484,7350.173939
90.168907,1001,7362.05017
39.818389,482,7368.075054
35.592785,435,7373.385848
85.451013,1001,7386.944581
39.300858,488,7392.919597
75.528502,847,7402.96373
40.115819,473,7408.928774
71.983329,821,7418.720582
43.395059,512,7425.134426
89.960967,1001,7438.2284
59.286977,686,7446.872279
88.527423,1001,7458.526105
64.420584,732,7467.12311
92.315346,1001,7478.65227
92.936373,1001,7491.837002
91.704452,1001,7503.687303
79.696619,894,7514.670923
90.574202,989,7526.537182
89.940587,1001,7539.719919
87.674256,1001,7551.361778
91.403258,1001,7563.20111
64.805216,733,7572.001569
92.69014,1001,7584.287704
91.971075,1001,7597.672901
74.351878,838,7607.528537
31.901334,394,7612.363603
87.473233,1001,7624.209915
37.60806,487,7630.160001
43.347126,544,7638.189522
88.602465,1001,7650.638223
35.919755,427,7655.863246
45.071915,521,7662.299031
17.371494,234,7665.440664
38.73171,487,7671.366777
91.065865,1001,7683.144272
87.674288,1001,7696.331997
22.752987,306,7700.270463
93.348805,1001,7712.405002
93.581656,1001,7724.384956
90.029694,1001,7736.076682
76.21747,848,7747.678648
93.813513,1001,7759.393312
69.220605,759,7768.352347
77.22653,844,7778.861237
91.423512,1001,7792.07988
90.883775,1001,7803.903252
93.616942,1001,7815.771506
89.825974,1001,7827.440292
92.180068,1001,7841.02296
93.334272,1001,7852.827384
91.714542,1001,7864.33165
84.977805,954,7875.643353
47.116239,551,7882.334456
92.145983,1001,7895.975965
64.419369,759,7906.578605
54.098082,632,7914.237118
53.958042,612,7921.652285
64.091248,718,7930.145565
1.039355,45,7931.18379
71.512571,784,7940.469948
91.863656,1001,7953.750424
89.695379,1001,7965.513958
57.363932,653,7973.709038
93.163323,1001,7985.533436
92.511665,1001,7998.687222
90.531307,1001,8010.273232
93.01419,1001,8021.975927
82.974377,891,8032.569589
24.758341,313,8036.971816
92.136223,1001,8050.385932
82.649521,946,8061.64681
91.757128,1001,8073.699571
56.459018,637,8081.545584
82.240232,902,8093.859644
90.908479,1001,8106.046047
81.932084,894,8116.636717
92.811832,1001,8128.458097
93.471371,1001,8140.249556
74.540011,821,8151.471537
92.694646,1001,8163.395703
93.024009,1001,8175.382578
94.089108,1001,8187.493183
92.248041,1001,8200.988085
92.733167,1001,8212.825421
91.807008,1001,8224.807371
92.420705,1001,8236.97981
93.185356,1001,8250.336084
39.237546,445,8255.897209
93.223262,1001,8267.512139
44.512625,503,8273.692606
60.235097,672,8281.688219
48.196236,543,8288.404254
93.85441,1001,8302.286158
36.955463,448,8307.88315
89.561328,1001,8319.695554
90.470451,1001,8331.559817
28.964866,364,8336.302133
47.685566,563,8343.322353
41.03129,488,8350.992835
59.780465,666,8359.164975
32.466914,394,8364.330159
91.568986,1001,8376.791825
81.987667,920,8387.951972
90.208879,1001,8401.241425
91.943286,1001,8413.193454
51.452923,589,8420.409153
