#{"t_start": 1640660537.5527205, "env_id": null}
r,l,t
79.886043,1001,11135.218533
81.457455,1001,11169.305354
83.739042,1001,11202.958334
85.759141,1001,11236.958388
86.445415,1001,11270.67819
82.928883,1001,11304.727112
84.094832,1001,11338.274376
88.557103,1001,11372.358205
85.379392,1001,11406.159789
82.04804,1001,11440.192754
86.64287,1001,11473.909564
84.002219,1001,11508.009351
85.870879,1001,11541.65535
87.76424,1001,11575.756133
82.928951,1001,11609.704325
86.086786,1001,11643.822063
82.267456,1001,11677.690468
83.730686,1001,11711.592782
85.82479,1001,11745.28466
86.36492,1001,11779.284712
88.012498,1001,11813.145139
49.566276,651,11835.811508
83.8103,1001,11869.624062
84.413229,1001,11903.752771
85.719982,1001,11937.615192
80.767417,1001,11971.612252
78.658804,1001,12005.525538
84.793627,1001,12039.958433
42.531539,552,12058.825963
84.739509,1001,12093.058395
88.670339,1001,12126.908848
86.139891,1001,12161.188154
86.003824,1001,12195.14233
88.725554,1001,12229.520371
87.865972,1001,12263.226211
83.156699,1001,12297.564359
90.244082,1001,12331.432765
87.064398,1001,12365.739996
91.056831,1001,12399.762987
88.038381,1001,12434.024342
86.408183,1001,12468.028383
90.250205,1001,12502.341598
86.419265,1001,12536.232004
88.383149,1001,12570.493299
89.39058,1001,12605.369009
89.200506,1001,12639.715136
84.806155,1001,12673.569579
86.82669,1001,12707.823952
38.739645,486,12724.555197
84.038317,1001,12759.240417
89.401947,1001,12793.238475
84.5287,1001,12827.777086
83.54126,1001,12861.819028
78.207902,1001,12896.104317
78.852797,1001,12929.901912
89.855344,1001,12964.271977
85.145019,1001,12998.014717
91.049988,1001,13032.443623
95.230141,1001,13066.350923
91.344378,1001,13100.598314
91.475685,1001,13134.452756
90.115042,1001,13168.623353
93.507588,1001,13202.552596
91.628937,1001,13236.721843
88.975481,1001,13271.170697
90.726742,1001,13305.435041
93.676321,1001,13339.857963
95.67719,1001,13373.925834
92.727409,1001,13408.229077
92.430166,1001,13442.061579
95.06813,1001,13476.447598
94.17056,1001,13510.513475
92.272132,1001,13544.893511
95.056815,1001,13579.030271
94.240262,1001,13613.428186
94.615527,1001,13647.556895
92.366695,1001,13681.961866
96.130906,1001,13715.94995
93.405515,1001,13750.32101
95.31554,1001,13784.569444
94.881278,1001,13819.104022
94.136564,1001,13853.310551
94.454337,1001,13887.664629
94.552189,1001,13921.80032
93.434346,1001,13956.195315
93.554449,1001,13990.366909
94.591852,1001,14024.952395
95.632981,1001,14059.386318
92.560988,1001,14093.495049
92.039161,1001,14127.968835
95.691526,1001,14162.18132
93.575578,1001,14196.58629
93.834074,1001,14230.772844
91.109463,1001,14265.351349
92.768545,1001,14299.437173
91.728002,1001,14333.976388
94.363071,1001,14368.012345
92.673432,1001,14402.267717
92.208389,1001,14436.361519
91.411757,1001,14470.938028
92.357792,1001,14505.232294
91.897514,1001,14541.47036
94.145822,1001,14575.74069
92.443704,1001,14610.309222
91.843077,1001,14644.556614
91.479962,1001,14679.33658
93.401224,1001,14713.37553
95.223665,1001,14748.007891
89.903082,1001,14782.407873
88.864931,1001,14816.85573
89.411615,1001,14851.378384
89.554775,1001,14885.580896
91.44959,1001,14920.124494
86.596528,1001,14954.224279
86.397642,1001,14988.904527
93.541477,1001,15023.027237
89.461122,1001,15057.682538
91.9739,1001,15091.972814
90.44082,1001,15126.575256
86.241737,1001,15161.09791
93.690063,1001,15195.739248
91.230885,1001,15229.91184
86.410154,1001,15264.550186
94.773361,1001,15299.063864
94.267558,1001,15333.595495
94.063332,1001,15367.634443
87.87918,1001,15402.185024
86.822476,1001,15436.424437
91.787672,1001,15470.872291
86.866721,1001,15505.318153
90.859951,1001,15539.700183
92.415692,1001,15574.336533
88.322947,1001,15608.705601
87.048032,1001,15643.381844
93.718271,1001,15677.547453
93.351711,1001,15712.017251
85.960029,1001,15746.280599
0.144017,21,15747.553194
1.132237,59,15750.103373
89.101151,1001,15784.626027
61.058019,697,15808.434343
91.935821,1001,15842.841307
92.4885,1001,15876.791494
93.878161,1001,15911.385955
86.112914,1001,15945.786936
93.277789,1001,15980.283662
89.690954,1001,16014.549004
91.75628,1001,16049.161418
94.041303,1001,16083.234277
24.033761,359,16096.290353
92.027919,1001,16130.654433
36.827227,466,16146.933886
90.722331,1001,16181.249095
50.613275,600,16202.726645
89.397661,1001,16237.65721
91.466083,1001,16271.793379
80.826397,886,16302.485281
94.51481,1001,16336.602022
90.221076,1001,16371.161579
91.141895,1001,16405.197535
85.648096,1001,16439.89572
91.832799,1001,16474.085267
92.656754,1001,16508.492231
85.933045,1001,16542.517217
92.13989,1001,16577.110682
90.427496,1001,16611.308207
90.695004,1001,16646.102137
90.77275,1001,16680.49813
88.274258,1001,16715.058685
91.924516,1001,16749.026822
50.923142,621,16771.129699
86.738106,1001,16805.400028
4.142375,127,16810.2331
0.551335,51,16812.503029
0.386323,43,16814.506669
56.403935,667,16837.925026
90.969587,1001,16872.069693
85.912603,1001,16906.702054
86.210088,1001,16940.972384
89.417749,1001,16975.559865
88.982234,1001,17009.875076
85.56057,1001,17044.588221
91.12524,1001,17078.692994
87.731482,1001,17114.122224
85.504264,1001,17148.827391
83.936901,1001,17183.01195
83.284142,1001,17217.728088
88.348335,1001,17252.176939
86.46943,1001,17286.748463
82.957929,1001,17321.268126
0.190477,18,17322.473901
85.584932,1001,17357.258854
84.759919,1001,17391.64288
87.818789,1001,17426.424842
91.006235,1001,17461.048227
84.991903,1001,17495.7883
88.816712,1001,17530.120464
86.227603,1001,17564.55336
85.696667,1001,17598.914446
79.956838,1001,17633.74428
86.556628,1001,17668.242999
88.122742,1001,17702.882342
84.00022,1001,17737.357125
82.273139,1001,17772.001454
87.857719,1001,17806.607885
90.477707,1001,17841.027814
83.590893,1001,17875.977328
88.200951,1001,17910.144933
88.0325,1001,17944.747374
88.477219,1001,17979.153341
84.983891,1001,18013.441623
85.478529,1001,18047.639147
89.759559,1001,18082.45801
90.135357,1001,18116.759257
89.667513,1001,18151.630978
92.008774,1001,18186.260348
4.109228,161,18192.242346
83.655606,1001,18227.186873
80.352671,1001,18261.619768
87.071773,1001,18296.660038
84.342739,1001,18331.433024
86.248792,1001,18366.089321
89.998525,1001,18401.099672
83.817904,1001,18435.677179
87.855924,1001,18470.391322
84.674426,1001,18505.069562
84.994073,1001,18540.126786
81.716099,1001,18574.795051
81.3308,1001,18609.532692
79.993747,1001,18644.026424
86.282647,1001,18679.038769
89.498782,1001,18713.692076
92.56049,1001,18748.692451
90.807086,1001,18783.330866
82.02862,1001,18818.387025
89.22927,1001,18853.015398
88.137014,1001,18887.962915
89.191133,1001,18922.76283
86.747566,1001,18957.654498
87.653951,1001,18992.763582
86.762774,1001,19027.402926
91.458269,1001,19062.553899
86.134229,1001,19097.584199
87.433565,1001,19132.527726
79.450739,1001,19167.374514
83.828626,1001,19202.546433
78.451747,1001,19237.326399
77.13277,1001,19272.320793
37.344791,535,19291.186328
38.627804,594,19312.044534
85.221811,1001,19347.225429
62.96585,763,19373.806326
87.300263,1001,19408.804709
53.578167,703,19433.293205
19.625004,289,19443.812068
87.439118,1001,19478.804466
87.089098,1001,19513.754053
86.66395,1001,19548.647714
38.482768,507,19566.550825
88.040829,1001,19601.66789
86.94424,1001,19636.284293
91.981714,1001,19671.153023
91.576111,1001,19705.660719
89.29155,1001,19740.588299
95.017096,1001,19775.15383
89.712569,1001,19811.597347
89.81324,1001,19847.389606
